order_id,invoice_id,order_ts,invoice_ts,due_date,paid_ts,customer_id,account_name,industry,segment,region,country,state,city,sales_channel,sales_rep_id,product_family,sku,contract_type,term_months,quantity,unit_price_local,discount_pct,gross_amount_local,net_amount_local,currency,payment_status,days_to_pay_est
ORD-6798711168,INV-4631997434,2024-03-04 12:11:12,2024-03-04 12:11:12,2024-04-03 12:11:12,2024-03-24 12:11:12,CUST-88818677,Apex Holdings,SaaS,SMB,EMEA,UK,,London,Partner,SR-880892,AI Platform,AIP-BUS,Usage-Based,6,10,19847.26,0.1241,99236.31,86919.28,USD,Paid,20
ORD-4825174845,INV-1732024896,2025-07-07 10:55:53,2025-07-07 10:55:53,2025-08-06 10:55:53,2025-07-31 10:55:53,CUST-22328253,Pioneer Retail,FinTech,SMB,North America,USA,NJ,Jersey City,Marketplace,SR-915855,Analytics Suite,ANL-STD,Subscription,12,19,5513.68,0.192,104759.99,84650.72,USD,Paid,24
ORD-9946732651,INV-2507172055,2025-04-13 01:44:19,2025-04-17 01:44:19,2025-05-17 01:44:19,2025-05-05 01:44:19,CUST-29883354,Vertex Systems,Travel,SMB,North America,USA,NC,Raleigh,Direct,SR-258729,Support Automation,SUP-ENT,Subscription,12,21,26176.5,0.0,549706.6,549706.6,USD,Paid,18
ORD-6476236611,INV-6853271621,2024-11-09 02:51:09,2024-11-12 02:51:09,2024-12-12 02:51:09,2024-11-28 02:51:09,CUST-07410213,Sunrise Systems,Healthcare,SMB,North America,USA,NY,New York,Marketplace,SR-423651,CRM Add-on,CRM-AI,Subscription,12,24,3324.64,0.0,79791.45,79791.45,EUR,Paid,16
ORD-9982281178,INV-5701039993,2024-11-05 14:17:13,2024-11-06 14:17:13,2024-12-06 14:17:13,2024-11-27 14:17:13,CUST-09488666,BlueRock Health,Travel,SMB,North America,USA,TX,Austin,Online,SR-602066,Support Automation,SUP-DEFLECT,Professional Services,1,20,4144.83,0.1359,6908.04,5969.02,USD,Paid,21
ORD-2251470045,INV-5891193243,2025-09-05 13:39:36,2025-09-06 13:39:36,2025-10-06 13:39:36,,CUST-61142077,Summit Systems,Logistics,Enterprise,North America,USA,WA,Seattle,Online,SR-705752,Supply Chain Optimizer,SCO-ENT,Usage-Based,3,20,43973.36,0.2154,219866.79,172502.01,USD,Overdue,92
ORD-1370506779,INV-8458635997,2024-03-02 13:19:04,2024-03-06 13:19:04,2024-04-05 13:19:04,,CUST-74504531,Summit Health,Education,SMB,North America,USA,IL,Chicago,Direct,SR-525562,AI Platform,AIP-DEV,Professional Services,1,24,9032.24,0.01,18064.48,17883.36,USD,Net 30,41
ORD-1892545496,INV-2000679831,2025-05-13 03:45:15,2025-05-13 03:45:15,2025-06-12 03:45:15,2025-06-12 03:45:15,CUST-92062078,Quantum Fin,Travel,Mid-Market,EMEA,Germany,,Berlin,Online,SR-205295,Analytics Suite,ANL-STD,Subscription,36,17,5137.36,0.0856,262005.52,239583.27,GBP,Paid,30
ORD-3586198636,INV-5477955756,2024-05-24 12:14:18,2024-05-26 12:14:18,2024-06-25 12:14:18,2024-06-06 12:14:18,CUST-82929132,Quantum Systems,Manufacturing,SMB,North America,USA,NY,New York,Inside Sales,SR-226373,Analytics Suite,ANL-STD,Subscription,12,6,502300.26,0.1763,3013801.56,2482414.78,INR,Paid,11
ORD-5622374976,INV-2576065670,2024-03-08 01:27:46,2024-03-09 01:27:46,2024-04-08 01:27:46,,CUST-84254327,Pioneer Systems,Healthcare,SMB,EMEA,UK,,London,Direct,SR-779616,Analytics Suite,ANL-ENT,Subscription,24,7,25149.87,0.1309,352098.12,306019.63,USD,Overdue,94
ORD-9768326698,INV-4707313190,2025-01-11 03:27:33,2025-01-11 03:27:33,2025-03-12 03:27:33,,CUST-14495570,Vertex Health,Manufacturing,Enterprise,APAC,Singapore,,Singapore,Direct,SR-464347,Analytics Suite,ANL-STD,Subscription,12,13,7840.2,0.244,101922.56,77052.64,EUR,Net 60,69
ORD-6365855507,INV-9305712746,2025-11-28 11:58:04,2025-11-28 11:58:04,2025-12-28 11:58:04,2026-01-01 11:58:04,CUST-28020584,BlueRock Logistics,Retail,Mid-Market,North America,USA,CA,San Francisco,Direct,SR-308312,CRM Add-on,CRM-AUTO,Subscription,12,24,7822.25,0.2546,187734.09,139937.78,USD,Paid,34
ORD-8421198467,INV-3261238701,2025-06-10 14:48:25,2025-06-14 14:48:25,2025-07-14 14:48:25,2025-07-05 14:48:25,CUST-13303513,Summit Labs,Logistics,Mid-Market,APAC,Singapore,,Singapore,Inside Sales,SR-485941,Support Automation,SUP-AGENT,Subscription,24,24,9721.26,0.0351,466620.25,450219.61,GBP,Paid,21
ORD-0035824063,INV-7525484759,2025-06-28 15:43:44,2025-06-29 15:43:44,2025-07-29 15:43:44,2025-08-19 15:43:44,CUST-76866262,Quantum Logistics,Logistics,SMB,North America,USA,IL,Chicago,Online,SR-513878,AI Platform,AIP-DEV,Subscription,36,17,8333.82,0.132,425024.81,368913.48,USD,Paid,51
ORD-3402507927,INV-2618678265,2025-05-27 23:34:00,2025-05-30 23:34:00,2025-06-29 23:34:00,,CUST-18339011,Nimbus Works,Healthcare,Enterprise,APAC,India,TS,Hyderabad,Partner,SR-525282,CRM Add-on,CRM-AI,Subscription,12,14,5019.07,0.0881,70267.01,64075.67,USD,Net 30,33
ORD-0424898350,INV-4008845431,2025-07-16 20:29:58,2025-07-16 20:29:58,2025-08-15 20:29:58,2025-08-03 20:29:58,CUST-02821160,Pioneer Logistics,Education,Enterprise,EMEA,UAE,,Dubai,Direct,SR-802963,AI Platform,AIP-DEV,Subscription,12,1,12499.57,0.2672,12499.57,9159.23,USD,Paid,18
ORD-6959716268,INV-1668803952,2025-01-01 09:06:52,2025-01-04 09:06:52,2025-02-03 09:06:52,2025-01-11 09:06:52,CUST-19200126,Cobalt Labs,Healthcare,Mid-Market,EMEA,UK,,London,Direct,SR-513101,Support Automation,SUP-DEFLECT,Usage-Based,1,1,5439.28,0.2306,453.27,348.76,EUR,Paid,7
ORD-9089053411,INV-2385682815,2024-04-01 18:47:16,2024-04-05 18:47:16,2024-05-05 18:47:16,,CUST-73736711,Quantum Works,SaaS,SMB,North America,USA,WA,Seattle,Online,SR-165030,Support Automation,SUP-ENT,Usage-Based,1,4,19664.08,0.0471,6554.69,6245.98,GBP,Overdue,103
ORD-6740743545,INV-3079690769,2025-08-23 02:17:43,2025-08-27 02:17:43,2025-09-26 02:17:43,2025-09-13 02:17:43,CUST-54256700,Evergreen Industries,SaaS,Enterprise,North America,USA,NC,Raleigh,Direct,SR-547435,Support Automation,SUP-ENT,Subscription,36,20,38131.27,0.5157,2287876.2,1107914.62,USD,Paid,17
ORD-9913598958,INV-5600807267,2024-11-18 20:34:25,2024-11-21 20:34:25,2024-12-21 20:34:25,2024-11-29 20:34:25,CUST-50227061,Pioneer Works,SaaS,SMB,North America,USA,NY,New York,Partner,SR-563952,CRM Add-on,CRM-AUTO,Subscription,36,24,6862.63,0.1115,494109.05,438997.74,USD,Paid,8
ORD-7884203240,INV-4693023525,2024-12-23 09:16:46,2024-12-25 09:16:46,2025-01-24 09:16:46,2025-01-14 09:16:46,CUST-69726401,Evergreen Logistics,Retail,Mid-Market,APAC,Australia,,Sydney,Direct,SR-187582,Supply Chain Optimizer,SCO-EXEC,Subscription,24,23,24762.41,0.0945,1139070.77,1031468.08,USD,Paid,20
ORD-0592717896,INV-6450202299,2024-09-22 18:14:29,2024-09-22 18:14:29,2024-10-22 18:14:29,2024-11-02 18:14:29,CUST-21175019,Apex Systems,Education,SMB,North America,USA,NC,Raleigh,Online,SR-338936,Analytics Suite,ANL-ENT,Subscription,12,22,23476.51,0.032,516483.32,499972.49,USD,Paid,41
ORD-6068539687,INV-2649688327,2024-05-10 23:17:42,2024-05-14 23:17:42,2024-06-13 23:17:42,2024-06-03 23:17:42,CUST-74985121,Evergreen Holdings,Healthcare,SMB,North America,USA,CA,San Francisco,Direct,SR-013489,CRM Add-on,CRM-INSIGHTS,Subscription,24,13,12495.48,0.0954,324882.55,293890.81,USD,Paid,20
ORD-0183832483,INV-7428685384,2025-10-24 16:52:39,2025-10-27 16:52:39,2025-11-26 16:52:39,2025-11-12 16:52:39,CUST-38251943,Summit Works,Travel,SMB,North America,USA,MA,Boston,Inside Sales,SR-562856,Analytics Suite,ANL-PRO,Usage-Based,12,2,11900.28,0.0,23800.56,23800.56,USD,Paid,16
ORD-8119900726,INV-6459659244,2025-07-12 22:05:09,2025-07-15 22:05:09,2025-08-14 22:05:09,2025-07-29 22:05:09,CUST-76364604,Apex Industries,Travel,SMB,North America,USA,NJ,Jersey City,Inside Sales,SR-005901,Supply Chain Optimizer,SCO-ENT,Subscription,36,20,3490443.06,0.3184,209426583.82,142737772.79,INR,Paid,14
ORD-7931145008,INV-0983368810,2025-04-05 00:14:35,2025-04-05 00:14:35,2025-05-05 00:14:35,2025-05-18 00:14:35,CUST-59390104,Nimbus Retail,Healthcare,SMB,North America,USA,NY,New York,Direct,SR-066761,Analytics Suite,ANL-STD,Subscription,24,24,6470.1,0.0,310564.89,310564.89,USD,Paid,43
ORD-0612093611,INV-6997370961,2024-10-14 04:05:35,2024-10-18 04:05:35,2024-12-17 04:05:35,,CUST-32056991,BlueRock Logistics,FinTech,SMB,North America,USA,GA,Atlanta,Partner,SR-862145,CRM Add-on,CRM-AI,Subscription,12,9,3163.45,0.0919,28471.03,25854.81,GBP,Net 60,53
ORD-0916916304,INV-4380735404,2025-08-11 15:01:35,2025-08-15 15:01:35,2025-09-14 15:01:35,2025-09-06 15:01:35,CUST-66825116,Quantum Group,Retail,Mid-Market,APAC,India,WB,Kolkata,Direct,SR-873854,Analytics Suite,ANL-ENT,Professional Services,1,21,28540.35,0.2557,49945.62,37176.48,USD,Paid,22
ORD-3177192741,INV-6462367845,2025-01-24 12:58:26,2025-01-26 12:58:26,2025-02-25 12:58:26,2025-02-24 12:58:26,CUST-59099278,Pioneer Systems,Logistics,Enterprise,North America,USA,WA,Seattle,Online,SR-418924,Support Automation,SUP-AGENT,Subscription,12,23,14146.91,0.1562,325378.88,274548.88,USD,Paid,29
ORD-3176779622,INV-3823426145,2024-11-13 02:53:29,2024-11-16 02:53:29,2025-01-15 02:53:29,,CUST-41594210,Apex Fin,Manufacturing,SMB,North America,USA,GA,Atlanta,Online,SR-965550,CRM Add-on,CRM-INSIGHTS,Usage-Based,1,24,9341.95,0.3633,18683.89,11895.6,USD,Net 60,39
ORD-8550160834,INV-6390525242,2024-11-18 17:14:27,2024-11-22 17:14:27,2024-12-22 17:14:27,,CUST-92623969,Pioneer Industries,Travel,SMB,North America,USA,GA,Atlanta,Online,SR-530910,CRM Add-on,CRM-AUTO,Subscription,12,1,6380.1,0.2481,6380.1,4797.27,USD,Net 30,23
ORD-3901143024,INV-4324977753,2024-06-11 01:24:28,2024-06-15 01:24:28,2024-07-15 01:24:28,2024-07-05 01:24:28,CUST-23309841,Quantum Health,Retail,SMB,North America,USA,IL,Chicago,Online,SR-724305,Supply Chain Optimizer,SCO-PLAN,Subscription,12,20,1092733.38,0.2455,21854667.62,16490252.34,INR,Paid,20
ORD-0061244570,INV-3767002118,2024-03-06 23:46:42,2024-03-09 23:46:42,2024-04-08 23:46:42,2024-03-25 23:46:42,CUST-25064362,Pioneer Fin,Education,SMB,EMEA,UK,,London,Direct,SR-637401,Supply Chain Optimizer,SCO-PLAN,Subscription,24,10,1184866.06,0.2176,23697321.29,18541610.14,INR,Paid,16
ORD-2092075542,INV-4096719433,2025-01-31 03:45:14,2025-02-04 03:45:14,2025-03-06 03:45:14,2025-02-23 03:45:14,CUST-60717589,Pioneer Group,Retail,SMB,North America,USA,WA,Seattle,Partner,SR-191757,CRM Add-on,CRM-AUTO,Subscription,24,13,6785.41,0.1125,176420.79,156574.31,USD,Paid,19
ORD-2125536992,INV-0243688532,2025-09-26 10:41:28,2025-09-30 10:41:28,2025-10-30 10:41:28,2025-11-14 10:41:28,CUST-21781422,Vertex Labs,Logistics,SMB,North America,USA,IL,Chicago,Inside Sales,SR-779918,AI Platform,AIP-DEV,Subscription,24,11,8461.27,0.1931,186147.85,150209.93,USD,Paid,45
ORD-0394704822,INV-7501439511,2024-02-15 19:45:32,2024-02-15 19:45:32,2024-03-16 19:45:32,2024-03-24 19:45:32,CUST-63458827,Sunrise Systems,FinTech,Mid-Market,North America,USA,TX,Austin,Direct,SR-179361,AI Platform,AIP-ENT,Subscription,12,16,33869.03,0.09,541904.51,493135.04,GBP,Paid,38
ORD-8015679090,INV-7567141687,2025-09-05 12:20:13,2025-09-06 12:20:13,2025-11-05 12:20:13,,CUST-62516901,Sunrise Holdings,Retail,SMB,North America,USA,IL,Chicago,Direct,SR-217136,Support Automation,SUP-DEFLECT,Professional Services,1,18,4778.76,0.1415,7168.14,6154.0,USD,Net 60,39
ORD-6163065357,INV-3226084487,2025-08-14 17:51:08,2025-08-18 17:51:08,2025-09-17 17:51:08,2025-09-06 17:51:08,CUST-96164061,Sunrise Group,Travel,Mid-Market,EMEA,UK,,London,Direct,SR-520221,Supply Chain Optimizer,SCO-ENT,Subscription,36,19,48338.9,0.2532,2755317.44,2057677.3,USD,Paid,19
ORD-2707776236,INV-1309598122,2024-07-16 16:53:15,2024-07-17 16:53:15,2024-08-16 16:53:15,2024-08-20 16:53:15,CUST-10706208,Nimbus Industries,SaaS,SMB,EMEA,Germany,,Berlin,Online,SR-498943,CRM Add-on,CRM-AI,Subscription,36,6,292389.89,0.1543,5263018.0,4451065.16,INR,Paid,34
ORD-9932949855,INV-0694281190,2025-03-27 22:46:13,2025-03-31 22:46:13,2025-04-30 22:46:13,2025-04-19 22:46:13,CUST-43247789,Apex Group,Retail,Mid-Market,North America,USA,WA,Seattle,Inside Sales,SR-774292,CRM Add-on,CRM-INSIGHTS,Subscription,36,5,12102.1,0.0,181531.45,181531.45,USD,Paid,19
ORD-9150062658,INV-2417591825,2024-04-28 11:08:05,2024-04-30 11:08:05,2024-05-30 11:08:05,,CUST-87357214,Pioneer Logistics,Education,SMB,North America,USA,WA,Seattle,Direct,SR-866407,Supply Chain Optimizer,SCO-PLAN,Subscription,36,2,15255.94,0.2093,91535.64,72374.82,USD,Net 30,22
ORD-2169711637,INV-3716692875,2025-06-26 23:29:43,2025-06-28 23:29:43,2025-07-28 23:29:43,,CUST-30056544,Cobalt Works,Manufacturing,Mid-Market,North America,USA,NY,New York,Direct,SR-573357,Analytics Suite,ANL-PRO,Subscription,12,14,975749.11,0.0978,13660487.51,12324096.24,INR,Net 30,39
ORD-1410635999,INV-9842936732,2025-05-15 12:24:08,2025-05-18 12:24:08,2025-06-17 12:24:08,,CUST-22019571,Evergreen Group,Manufacturing,SMB,APAC,India,GJ,Ahmedabad,Marketplace,SR-331510,Analytics Suite,ANL-STD,Professional Services,3,21,5075.3,0.2229,26645.31,20706.41,EUR,Net 30,31
ORD-2932482112,INV-2662600892,2024-09-10 21:26:19,2024-09-10 21:26:19,2024-10-10 21:26:19,,CUST-25043198,Cobalt Labs,Travel,Mid-Market,North America,USA,CA,San Francisco,Online,SR-928800,Analytics Suite,ANL-ENT,Subscription,12,21,27113.89,0.3828,569391.6,351449.66,USD,Net 30,21
ORD-3562323512,INV-9682514848,2024-02-18 17:35:00,2024-02-21 17:35:00,2024-03-22 17:35:00,2024-03-07 17:35:00,CUST-87517159,Pioneer Retail,Manufacturing,SMB,APAC,Singapore,,Singapore,Direct,SR-044004,CRM Add-on,CRM-AUTO,Subscription,12,7,7362.3,0.1551,51536.08,43545.0,USD,Paid,15
